UserID,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50,J51,J52,J53,J54,J55,J56,J57,J58,J59,J60,J61,J62,J63,J64,J65,J66,J67,J68,J69,J70,J71,J72,J73,J74,J75,J76,J77,J78,J79,J80,J81,J82,J83,J84,J85,J86,J87,J88,J89,J90,J91,J92,J93,J94,J95,J96,J97,J98,J99,J100
30,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949,1.4949
32,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884,1.3884
34,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132,3.4132
38,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552,3.0552
43,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629,-0.6629
44,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856,5.0856
49,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637,0.7637
50,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885
53,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837,-2.0837
56,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783
58,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654,-4.7654
61,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652,0.8652
63,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077,-1.9077
70,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166
72,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894,-3.5894
